player_name,player_id,timeframe,aLevel,Age,TeamName,error
Luke Maile,sa503535,last_15,AAA,34,KCR (AAA),Total row not found (advanced) | Total row not found (standard)
Luke Maile,sa503535,last_7,AAA,34,KCR (AAA),Total row not found (advanced) | Total row not found (standard)
Jacob Stallings,sa526927,last_15,AAA,35,BAL (AAA),Total row not found (advanced) | Total row not found (standard)
Jacob Stallings,sa526927,last_7,AAA,35,BAL (AAA),Total row not found (advanced) | Total row not found (standard)
Travis Jankowski,sa577924,last_30,AAA,34,- - -,Total row not found (advanced) | Total row not found (standard)
Travis Jankowski,sa577924,last_7,AAA,34,- - -,Total row not found (advanced) | Total row not found (standard)
Travis Jankowski,sa577924,last_15,AAA,34,- - -,Total row not found (advanced) | Total row not found (standard)
Joe Hudson,sa658019,last_45,AAA,34,HOU (AAA),Total row not found (advanced) | Total row not found (standard)
Joe Hudson,sa658019,last_15,AAA,34,HOU (AAA),Total row not found (advanced) | Total row not found (standard)
Joe Hudson,sa658019,last_7,AAA,34,HOU (AAA),Total row not found (advanced) | Total row not found (standard)
Joe Hudson,sa658019,last_30,AAA,34,HOU (AAA),Total row not found (advanced) | Total row not found (standard)
Franchy Cordero,sa657481,last_45,AAA,30,WSN (AAA),Total row not found (advanced) | Total row not found (standard)
Franchy Cordero,sa657481,last_30,AAA,30,WSN (AAA),Total row not found (advanced) | Total row not found (standard)
Franchy Cordero,sa657481,last_7,AAA,30,WSN (AAA),Total row not found (advanced) | Total row not found (standard)
Franchy Cordero,sa657481,last_15,AAA,30,WSN (AAA),Total row not found (advanced) | Total row not found (standard)
Manuel Margot,sa657504,last_7,AAA,30,DET (AAA),Total row not found (advanced) | Total row not found (standard)
Manuel Margot,sa657504,last_15,AAA,30,DET (AAA),Total row not found (advanced) | Total row not found (standard)
Trey Mancini,sa708967,last_7,AAA,33,ARI (AAA),Total row not found (advanced) | Total row not found (standard)
Trey Mancini,sa708967,last_15,AAA,33,ARI (AAA),Total row not found (advanced) | Total row not found (standard)
Mike Tauchman,sa737856,last_30,AAA,34,CHW (AAA),Total row not found (advanced) | Total row not found (standard)
