Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,GB%,LD%,FB%,IFFB%,HR/FB,GB/FB,Oppo%,Pull%,Cent%,Balls,Strikes,Pitches,SwStr%,Age,MaxAge,Season,PlayerName,TeamName,AffId,AffAbbName,aLevel,playerids,minormasterid
"<a href=""statss.aspx?playerid=sa3043041&position=OF"">Anthony Stephan</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=146&players=0"">Reds (A+)</a>",44.0,143.0,169.0,37.0,19.0,13.0,2.0,3.0,17.0,20.0,19.0,0.0,34.0,5.0,2.0,0.0,0.0,1.0,1.0,0.258741258,0.112426035,0.201183431,0.558823529,0.360946745,0.44055944,0.801506185,0.181818182,4.167987769138568,0.314814814,25.71175576905853,4.500743360921211,0.3751210545647074,120.03735422000781,-0.6936048148199916,0.409090909,0.272727272,0.318181818,0.257142857,0.085714285,1.285714285,0.28828829,0.48648649,0.22522523,254.0,397.0,651.0,0.10445469,22,22,2025,Anthony Stephan,CIN (A+),18.0,CIN,A+,sa3043041,sa3043041
"<a href=""statss.aspx?playerid=sa3045857&position=SS"">Zane Zielinski</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=144&players=0"">Giants (A+)</a>",67.0,239.0,281.0,53.0,45.0,4.0,2.0,2.0,37.0,29.0,29.0,0.0,79.0,10.0,2.0,1.0,4.0,22.0,4.0,0.221757322,0.103202846,0.28113879,0.367088607,0.328571428,0.280334728,0.608906156,0.058577406,7.723318615553029,0.31875,26.60231453636978,-9.557537506424447,0.30013735038893563,75.16059893782155,1.8880463689565659,0.490683229,0.204968944,0.304347826,0.224489795,0.040816326,1.612244897,0.39263804,0.39877301,0.20858896,419.0,703.0,1122.0,0.12388592,23,23,2025,Zane Zielinski,SFG (A+),30.0,SFG,A+,sa3045857,sa3045857
"<a href=""statss.aspx?playerid=sa3065496&position=SS/OF"">Konnor Griffin</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=97&players=0"">Pirates (A+)</a>",23.0,90.0,107.0,29.0,19.0,6.0,0.0,4.0,24.0,17.0,12.0,0.0,22.0,4.0,1.0,0.0,2.0,14.0,4.0,0.322222222,0.112149532,0.205607476,0.545454545,0.420560747,0.522222222,0.942782969,0.2,6.77565157176257,0.384615384,22.02108817225458,9.09022939628126,0.4349770428978394,165.35632134787403,0.5886683957651258,0.388059701,0.313432835,0.298507462,0.2,0.2,1.3,0.31884058,0.39130435,0.28985507,163.0,259.0,422.0,0.10189573,19,19,2025,Konnor Griffin,PIT (A+),27.0,PIT,A+,sa3065496,sa3065496
"<a href=""statss.aspx?playerid=sa3066460&position=OF"">Slade Caldwell</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=33&players=0"">Diamondbacks (A+)</a>",23.0,77.0,102.0,16.0,12.0,3.0,1.0,0.0,13.0,3.0,19.0,0.0,24.0,4.0,2.0,0.0,3.0,9.0,1.0,0.207792207,0.186274509,0.235294117,0.791666666,0.382352941,0.272727272,0.655080213,0.064935065,7.9741934492669735,0.29090909,12.436932567347874,-0.6887076759439807,0.3335558947394876,95.69690613433427,1.0552660338580608,0.618181818,0.127272727,0.254545454,0.071428571,0.0,2.428571428,0.39285714,0.375,0.23214286,180.0,232.0,412.0,0.05825243,19,19,2025,Slade Caldwell,ARI (A+),15.0,ARI,A+,sa3066460,sa3066460
"<a href=""statss.aspx?playerid=sa3066528&position=2B/3B/SS"">Kyle Dernedde</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=102&players=0"">Cleveland (A+)</a>",36.0,110.0,126.0,18.0,14.0,3.0,0.0,1.0,13.0,13.0,11.0,0.0,38.0,2.0,3.0,0.0,2.0,2.0,0.0,0.163636363,0.087301587,0.301587301,0.289473684,0.246031746,0.218181818,0.464213564,0.054545455,4.853349329782758,0.229729729,5.078766327279506,-10.735361266953053,0.23260760969585842,32.1856984102403,0.11682127136737108,0.405405405,0.162162162,0.432432432,0.15625,0.03125,0.9375,0.33333333,0.42666667,0.24,210.0,314.0,524.0,0.08206107,24,24,2025,Kyle Dernedde,CLE (A+),5.0,CLE,A+,sa3066528,sa3066528
"<a href=""statss.aspx?playerid=sa3066780&position=OF"">Kolby Johnson</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=61&players=0"">Red Sox (A+)</a>",19.0,61.0,69.0,11.0,11.0,0.0,0.0,0.0,5.0,3.0,7.0,0.0,16.0,1.0,0.0,0.0,5.0,2.0,1.0,0.180327868,0.101449275,0.231884057,0.4375,0.275362318,0.180327868,0.455690186,0.0,3.6506124598338454,0.244444444,3.820611301516282,-4.517979871774924,0.2360513460808906,44.3899999932515,-0.30672779213637114,0.615384615,0.23076923,0.153846153,0.166666666,0.0,4.0,0.28571429,0.47619048,0.23809524,93.0,143.0,236.0,0.12288136,25,25,2025,Kolby Johnson,BOS (A+),3.0,BOS,A+,sa3066780,sa3066780
"<a href=""statss.aspx?playerid=sa3066858&position=OF"">Jose Gonzalez</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=101&players=0"">Astros (A+)</a>",14.0,44.0,51.0,8.0,7.0,1.0,0.0,0.0,5.0,2.0,5.0,0.0,19.0,2.0,0.0,0.0,0.0,1.0,1.0,0.181818181,0.098039215,0.372549019,0.263157894,0.294117647,0.204545454,0.498663101,0.022727273,3.6549875092553203,0.32,3.6682240857630912,-2.4950824336260613,0.2579425772031148,45.89183239965653,-0.43165711872279644,0.416666666,0.208333333,0.375,0.333333333,0.0,1.111111111,0.33333333,0.45833333,0.20833333,75.0,142.0,217.0,0.16129032,24,24,2025,Jose Gonzalez,HOU (A+),21.0,HOU,A+,sa3066858,sa3066858
"<a href=""statss.aspx?playerid=sa3067038&position=OF"">Drew Brutcher</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=101&players=0"">Astros (A+)</a>",16.0,49.0,59.0,8.0,6.0,2.0,0.0,0.0,8.0,3.0,7.0,0.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,0.163265306,0.118644067,0.220338983,0.538461538,0.27118644,0.204081632,0.475268072,0.040816326,5.325679200274012,0.210526315,3.5153389494268827,-3.6147607494742937,0.24161955057564427,35.668459276174744,-0.010197890922427177,0.5,0.210526315,0.289473684,0.181818181,0.0,1.727272727,0.35135135,0.43243243,0.21621622,89.0,140.0,229.0,0.08296943,23,23,2025,Drew Brutcher,HOU (A+),21.0,HOU,A+,sa3067038,sa3067038
"<a href=""statss.aspx?playerid=sa3067039&position=C/1B"">Luke Davis</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=75&players=0"">Phillies (A+)</a>",37.0,98.0,132.0,14.0,12.0,0.0,0.0,2.0,14.0,7.0,33.0,0.0,27.0,1.0,0.0,0.0,3.0,0.0,0.0,0.142857142,0.25,0.204545454,1.222222222,0.363636363,0.204081632,0.567717995,0.06122449,1.1845238025,0.173913043,14.550754493059536,-1.4013329688888592,0.30859790155381867,94.65689894276227,-0.6906502228230238,0.442857142,0.214285714,0.342857142,0.166666666,0.083333333,1.291666666,0.32394366,0.43661972,0.23943662,273.0,314.0,587.0,0.06984668,22,22,2025,Luke Davis,PHI (A+),26.0,PHI,A+,sa3067039,sa3067039
"<a href=""statss.aspx?playerid=sa3067285&position=C"">Hayden Gilliland</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=42&players=0"">Blue Jays (A+)</a>",13.0,38.0,47.0,9.0,6.0,2.0,0.0,1.0,6.0,10.0,7.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,0.236842105,0.14893617,0.404255319,0.368421052,0.340425531,0.368421052,0.708846583,0.131578947,1.60119047125,0.4,5.577949657409166,-0.47013947430374836,0.3295705977906572,94.93962403990747,-0.10840659961104393,0.25,0.35,0.4,0.25,0.125,0.625,0.38095238,0.23809524,0.38095238,80.0,118.0,198.0,0.16161616,23,23,2025,Hayden Gilliland,TOR (A+),14.0,TOR,A+,sa3067285,sa3067285
