player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Ruben Ibarra,702140,last_45,AA,27.3,Chattanooga Lookouts,Total,CHA,- - -,,,35,125,143,29,12,5,0,12,23,38,14,0,34,3,1,0,4,1,0,.232,9.8%,23.8%,.412,.322,.560,.882,.328,,.212,,23.8,4.0,.384,120
Alan Roden,702176,last_45,AAA,26.5,St. Paul Saints,Total,STP,- - -,,,13,52,58,12,7,1,0,4,9,5,5,0,10,1,0,0,1,0,0,.231,8.6%,17.2%,.500,.310,.481,.791,.250,,.211,,8.0,0.1,.352,101
Colin Tuft,702239,last_45,A+,23.5,Frederick Keys,Total,FRE,- - -,,,27,87,111,20,8,6,1,5,12,17,20,0,32,3,1,0,1,9,1,.230,18.0%,28.8%,.625,.387,.494,.882,.264,,.294,,19.8,3.6,.394,123
Cam Collier,702253,last_45,AA,21.7,Chattanooga Lookouts,Total,CHA,- - -,,,34,128,146,28,17,5,0,6,21,29,14,0,37,3,1,0,1,0,0,.219,9.6%,25.3%,.378,.308,.398,.707,.180,,.256,,17.1,-3.1,.320,84
Druw Jones,702258,last_45,AA,22.7,Amarillo Sod Poodles,Total,AMA,- - -,,,29,114,129,36,31,2,0,3,22,21,12,0,33,1,1,1,1,9,4,.316,9.3%,25.6%,.364,.383,.412,.795,.096,,.418,,19.2,1.3,.363,107
Termarr Johnson,702261,last_45,AAA,22.1,Indianapolis Indians,Total,IND,- - -,,,33,124,154,29,17,8,0,4,30,17,30,0,32,0,0,0,2,11,5,.234,19.5%,20.8%,.938,.383,.395,.778,.161,,.284,,22.3,1.3,.361,106
Jared Jones,702262,last_45,FCL,22.9,FCL Pirates,Total,F-PIR,- - -,,,19,71,82,25,16,5,0,4,13,17,11,0,19,0,0,0,2,0,0,.352,13.4%,23.2%,.579,.439,.592,1.031,.239,,.438,,18.6,6.6,.455,155
Gavin Kilen,702264,last_45,A+,22.3,Eugene Emeralds,Total,EUG,- - -,,,33,124,140,36,15,15,2,4,13,24,12,0,18,1,3,0,2,0,1,.290,8.6%,12.9%,.667,.350,.540,.890,.250,,.305,,23.5,4.5,.386,123
Paxton Kling,702265,last_45,A+,23.2,Hub City Spartanburgers,Total,HCS,- - -,,,2,8,9,2,2,0,0,0,3,0,1,0,5,0,0,0,0,4,0,.250,11.1%,55.6%,.200,.333,.250,.583,.000,,.667,,0.8,-0.5,.281,62
Malcolm Moore,702270,last_45,AA,23.0,Frisco RoughRiders,Total,FRI,- - -,,,27,101,115,20,11,3,1,5,15,10,10,0,34,3,1,0,0,0,0,.198,8.7%,29.6%,.294,.287,.396,.683,.198,,.238,,12.3,-3.8,.308,77
Nolan Schubart,702278,last_45,A+,22.2,Lake County Captains,Total,LC,- - -,,,30,110,139,30,15,6,2,7,20,24,28,1,42,1,0,0,1,0,0,.273,20.1%,30.2%,.667,.424,.555,.979,.282,,.377,,28.7,9.6,.430,150
