player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Justin Verlander,434378,last_7,AAA,43.3,Toledo Mud Hens,Total,TOL,- - -,1,1,0,.00,0,0,0,5.0,19,4,0,0,0,0,0,0,0,0,3,5.40,.00,,.00,15.8%,0.0%,15.8%,.211,.80,,,2.11
Max Scherzer,453286,last_7,AAA,41.9,Buffalo Bisons,Total,BUF,- - -,2,0,1,4.05,0,0,0,6.2,27,5,3,3,1,3,0,0,0,0,9,12.15,4.05,3.00,1.35,33.3%,11.1%,22.2%,.208,1.20,,,3.91
Ryan Brasier,518489,last_7,AAA,38.8,Round Rock Express,Total,RR,- - -,1,0,1,27.00,0,0,0,1.0,7,1,3,3,1,3,0,0,0,0,0,.00,27.00,.00,9.00,0.0%,42.9%,-42.9%,.250,4.00,,,26.39
Alexander Cornielle,529017,last_7,A,24.8,Tampa Tarpons,Total,TAM,- - -,1,0,1,2.45,0,0,0,3.2,14,2,1,1,0,2,0,0,0,0,3,7.36,4.91,1.50,.00,21.4%,14.3%,7.1%,.167,1.09,,,3.49
Jesse Hahn,534910,last_7,AAA,36.8,Buffalo Bisons,Total,BUF,- - -,0,0,0,.00,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.333,1.00,,,3.31
Erasmo Ramírez,541640,last_7,AAA,36.1,Albuquerque Isotopes,Total,ABQ,- - -,1,0,1,36.00,0,0,0,2.0,15,8,8,8,1,2,0,0,0,0,2,9.00,9.00,1.00,4.50,13.3%,13.3%,0.0%,.615,5.00,,,11.89
Christian Bethancourt,542194,last_7,AAA,34.8,Iowa Cubs,Total,IOW,- - -,0,0,0,.00,0,0,0,0.2,4,0,0,0,0,2,0,0,0,0,0,.00,27.00,.00,.00,0.0%,50.0%,-50.0%,.000,3.00,,,12.31
Anthony Gose,543238,last_7,AAA,35.8,Omaha Storm Chasers,Total,OMA,- - -,0,0,0,6.75,0,0,0,1.1,7,2,1,1,0,1,0,0,0,0,1,6.75,6.75,1.00,.00,14.3%,14.3%,0.0%,.333,2.25,,,4.06
Michael Kelly,547184,last_7,AAA,33.7,Las Vegas Aviators,Total,LV,- - -,0,0,0,.00,0,0,1,1.2,5,0,0,0,0,1,0,0,1,0,2,1.80,5.40,2.00,.00,40.0%,20.0%,20.0%,.000,.60,,,3.79
Yimi García,554340,last_7,A,35.8,Dunedin Blue Jays,Total,DUN,- - -,0,0,0,.00,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,9.00,9.00,1.00,.00,25.0%,25.0%,0.0%,.000,1.00,,,4.49
Matthew Boyd,571510,last_7,AAA,35.3,Iowa Cubs,Total,IOW,- - -,2,1,1,7.00,0,0,0,9.0,39,11,8,7,3,2,0,0,0,0,7,7.00,2.00,3.50,3.00,17.9%,5.1%,12.8%,.297,1.44,,,6.75
Luke Jackson,592426,last_7,AAA,34.8,Omaha Storm Chasers,Total,OMA,- - -,0,0,0,2.08,0,0,0,4.1,14,2,2,1,0,0,0,0,0,0,5,1.38,.00,,.00,35.7%,0.0%,35.7%,.143,.46,,,1.00
Andrew Thurman,592806,last_7,AA,34.5,San Antonio Missions,Total,SA,- - -,0,1,1,6.75,0,0,0,2.2,11,3,2,2,0,0,0,0,0,0,2,6.75,.00,,.00,18.2%,0.0%,18.2%,.273,1.12,,,1.72
Vince Velasquez,592826,last_7,AAA,34.0,Iowa Cubs,Total,IOW,- - -,1,0,0,3.00,0,0,0,3.0,13,1,1,1,0,2,0,1,0,0,4,12.00,6.00,2.00,.00,30.8%,15.4%,15.4%,.100,1.00,,,3.64
Taijuan Walker,592836,last_7,AAA,33.8,Salt Lake Bees,Total,SL,- - -,1,0,0,3.86,0,0,0,4.2,20,5,2,2,1,3,0,0,0,1,3,5.79,5.79,1.00,1.93,15.0%,15.0%,0.0%,.294,1.71,,,7.82
Wander Suero,593833,last_7,AAA,34.7,Las Vegas Aviators,Total,LV,- - -,0,0,0,1.80,0,0,0,3.1,17,8,5,4,0,0,0,0,0,0,4,1.80,.00,,.00,23.5%,0.0%,23.5%,.471,2.40,,,1.99
Marco Gonzales,594835,last_7,AAA,34.3,El Paso Chihuahuas,Total,ELP,- - -,1,0,1,5.79,0,0,0,4.2,21,7,3,3,0,1,0,0,0,0,8,15.43,1.93,8.00,.00,38.1%,4.8%,33.3%,.350,1.71,,,1.60
Casey Lawrence,596271,last_7,AAA,38.6,Tacoma Rainiers,Total,TAC,- - -,2,0,1,4.50,0,0,0,12.0,47,10,6,6,0,1,0,0,0,0,8,6.00,.75,8.00,.00,17.0%,2.1%,14.9%,.217,.92,,,3.30
Austin Gomber,596295,last_7,AAA,32.5,Gwinnett Stripers,Total,GWN,- - -,2,1,0,3.86,0,0,0,11.2,45,10,5,5,3,1,0,0,0,0,8,6.17,.77,8.00,2.31,17.8%,2.2%,15.6%,.227,.94,,,5.54
John Brebbia,605154,last_7,AAA,36.0,Albuquerque Isotopes,Total,ABQ,- - -,0,0,0,.00,0,0,0,4.0,13,2,0,0,0,0,0,0,1,0,3,6.75,.00,,.00,23.1%,0.0%,23.1%,.154,.50,,,2.89
Aaron Brooks,605156,last_7,AAA,36.1,Durham Bulls,Total,DUR,- - -,2,0,0,9.45,0,0,0,6.2,30,10,7,7,2,0,0,1,0,0,7,9.45,.00,,2.70,23.3%,0.0%,23.3%,.345,1.50,,,5.56
Carl Edwards Jr.,605218,last_7,AAA,34.8,Toledo Mud Hens,Total,TOL,- - -,0,1,0,.00,0,0,0,3.1,13,3,0,0,0,0,0,0,0,0,7,18.90,.00,,.00,53.8%,0.0%,53.8%,.231,.90,,,-.89
Michael Fulmer,605242,last_7,AAA,33.2,Sacramento River Cats,Total,SAC,- - -,0,0,0,.00,0,0,1,3.0,11,2,0,0,0,0,0,0,0,0,6,18.00,.00,,.00,54.5%,0.0%,54.5%,.182,.67,,,.39
Jordan Romano,605447,last_7,ACL,33.1,ACL Rockies,Total,A-RCK,- - -,0,1,0,.00,0,0,0,1.0,4,0,0,0,0,1,0,0,0,2,0,.00,9.00,.00,.00,0.0%,25.0%,-25.0%,.000,1.00,,,8.05
Joe Ross,605452,last_7,AAA,33.0,Round Rock Express,Total,RR,- - -,0,0,0,.00,0,0,0,4.1,15,2,0,0,0,0,0,0,1,0,2,4.15,.00,,.00,13.3%,0.0%,13.3%,.133,.46,,,3.46
Rafael Montero,606160,last_7,AAA,35.6,Scranton/Wilkes-Barre RailRiders,Total,SWB,- - -,1,0,0,.00,0,0,1,1.1,6,2,0,0,0,0,0,0,0,0,2,13.50,.00,,.00,33.3%,0.0%,33.3%,.333,1.50,,,.31
Joel Payamps,606303,last_7,AAA,32.2,Gwinnett Stripers,Total,GWN,- - -,0,0,0,.00,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,1,4.50,.00,,.00,14.3%,0.0%,14.3%,.143,.50,,,2.31
Kyle Hart,606996,last_7,AAA,33.5,El Paso Chihuahuas,Total,ELP,- - -,0,0,0,12.46,0,0,0,4.1,24,10,6,6,2,2,0,0,1,1,4,8.31,4.15,2.00,4.15,16.7%,8.3%,8.3%,.455,2.77,,,9.93
Carson Fulmer,608334,last_7,AAA,32.5,Indianapolis Indians,Total,IND,- - -,0,0,0,8.31,0,0,0,4.1,22,8,5,4,1,2,0,0,0,0,2,4.15,4.15,1.00,2.08,9.1%,9.1%,0.0%,.400,2.31,,,6.77
Cole Irvin,608344,last_7,AAA,32.3,Oklahoma City Comets,Total,OKC,- - -,1,1,0,1.80,0,0,0,5.0,21,5,1,1,0,1,0,1,0,0,5,9.00,1.80,5.00,.00,23.8%,4.8%,19.0%,.263,1.20,,,3.59
Germán Márquez,608566,last_7,AAA,31.3,El Paso Chihuahuas,Total,ELP,- - -,1,0,0,.00,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,3,11.57,.00,,.00,37.5%,0.0%,37.5%,.125,.43,,,1.82
Dietrich Enns,608650,last_7,AAA,35.1,Norfolk Tides,Total,NOR,- - -,0,1,0,3.86,0,0,0,4.2,20,4,2,2,1,2,0,0,0,0,4,7.71,3.86,2.00,1.93,20.0%,10.0%,10.0%,.222,1.29,,,5.67
Austin Voth,608723,last_7,AAA,33.9,St. Paul Saints,Total,STP,- - -,1,0,0,5.79,0,0,0,4.2,20,5,3,3,1,0,0,0,0,0,4,7.71,.00,,1.93,20.0%,0.0%,20.0%,.250,1.07,,,4.38
Jose Cuas,621016,last_7,AAA,31.9,Omaha Storm Chasers,Total,OMA,- - -,0,0,1,4.50,0,0,0,2.0,8,2,1,1,0,1,0,0,0,0,1,4.50,4.50,1.00,.00,12.5%,12.5%,0.0%,.286,1.50,,,3.81
Tyler Ferguson,621053,last_7,AAA,32.7,Iowa Cubs,Total,IOW,- - -,0,0,0,.00,0,0,1,2.0,8,2,0,0,0,0,0,0,0,0,3,13.50,.00,,.00,37.5%,0.0%,37.5%,.250,1.00,,,.31
Michael Rucker,621074,last_7,AAA,32.1,Tacoma Rainiers,Total,TAC,- - -,0,0,0,.00,0,0,0,1.2,6,2,0,0,0,0,0,0,0,0,2,1.80,.00,,.00,33.3%,0.0%,33.3%,.333,1.20,,,1.99
Jacob Waguespack,621097,last_7,AAA,32.6,Nashville Sounds,Total,NAS,- - -,0,0,0,.00,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,4,18.00,.00,,.00,66.7%,0.0%,66.7%,.000,.00,,,-.69
Matt Bowman,621199,last_7,AAA,35.0,Buffalo Bisons,Total,BUF,- - -,0,0,0,.00,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,18.00,.00,,.00,66.7%,0.0%,66.7%,.000,.00,,,-.69
Ty Blach,621389,last_7,AAA,35.6,Iowa Cubs,Total,IOW,- - -,1,0,1,2.25,0,0,0,4.0,24,10,10,9,3,1,0,0,0,0,0,.00,2.25,.00,6.75,0.0%,4.2%,-4.2%,.435,2.75,,,13.81
Alex Young,622065,last_7,FCL,32.7,FCL Nationals,Total,F-NAT,- - -,0,1,0,.00,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,9.00,9.00,1.00,.00,25.0%,25.0%,0.0%,.000,1.00,,,4.93
Drew Smith,622098,last_7,AAA,32.7,St. Paul Saints,Total,STP,- - -,0,0,0,.00,0,0,0,3.1,11,0,0,0,0,1,0,0,0,0,4,1.80,2.70,4.00,.00,36.4%,9.1%,27.3%,.000,.30,,,1.81
Josh Sborz,622250,last_7,AAA,32.5,Round Rock Express,Total,RR,- - -,0,0,0,54.00,0,0,0,0.1,4,2,2,2,1,1,0,0,0,0,0,.00,27.00,.00,27.00,0.0%,25.0%,-25.0%,.667,9.00,,,52.39
Elieser Hernández,622694,last_7,AAA,31.1,Gwinnett Stripers,Total,GWN,- - -,1,0,0,4.50,0,0,0,6.0,27,6,3,3,1,3,0,0,0,0,6,9.00,4.50,2.00,1.50,22.2%,11.1%,11.1%,.250,1.50,,,4.98
Thomas Pannone,623381,last_7,AAA,32.1,Nashville Sounds,Total,NAS,- - -,1,0,0,.00,0,0,0,5.2,22,4,0,0,0,1,0,0,0,0,3,4.76,1.59,3.00,.00,13.6%,4.5%,9.1%,.190,.88,,,2.78
Justin Topa,623437,last_7,AAA,35.2,Buffalo Bisons,Total,BUF,- - -,0,0,0,.00,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.000,.00,,,3.31
Evan Phillips,623465,last_7,AAA,31.7,Oklahoma City Comets,Total,OKC,- - -,0,0,0,.00,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,13.50,13.50,1.00,.00,25.0%,25.0%,0.0%,.333,3.00,,,5.89
Erick Mejia,625510,last_7,AA,31.6,Harrisburg Senators,Total,HBG,- - -,0,0,0,.00,0,0,1,2.1,8,1,0,0,0,0,0,0,0,0,4,15.43,.00,,.00,50.0%,0.0%,50.0%,.125,.43,,,.45
Ofreidy Gómez,628709,last_7,AAA,30.9,Syracuse Mets,Total,SYR,- - -,0,0,0,.00,0,0,0,3.0,14,2,0,0,0,3,0,0,0,0,5,15.00,9.00,1.67,.00,35.7%,21.4%,14.3%,.182,1.67,,,2.98
Matt Krook,640454,last_7,AAA,31.6,Las Vegas Aviators,Total,LV,- - -,0,0,0,6.75,0,0,0,4.0,21,6,3,3,0,1,0,2,0,0,4,9.00,2.25,4.00,.00,19.0%,4.8%,14.3%,.333,1.75,,,4.64
A.J. Puk,640462,last_7,AAA,31.1,Reno Aces,Total,RNO,- - -,0,0,0,1.80,0,0,0,1.2,8,2,2,2,0,2,0,0,0,0,2,1.80,1.80,1.00,.00,25.0%,25.0%,0.0%,.333,2.40,,,5.59
Adbert Alzolay,640470,last_7,AAA,31.3,Syracuse Mets,Total,SYR,- - -,0,0,0,9.00,0,0,0,1.0,5,1,1,1,1,1,0,0,0,0,3,27.00,9.00,3.00,9.00,60.0%,20.0%,40.0%,.250,2.00,,,13.31
Ben Bowden,641386,last_7,AAA,31.6,Las Vegas Aviators,Total,LV,- - -,0,0,0,1.80,0,0,0,1.2,8,3,2,2,1,1,0,0,0,0,1,5.40,5.40,1.00,5.40,12.5%,12.5%,0.0%,.429,2.40,,,12.79
J.P. France,641585,last_7,AAA,31.2,Sugar Land Space Cowboys,Total,SUG,- - -,0,0,0,3.38,0,0,0,2.2,14,3,1,1,0,4,0,0,1,0,3,1.12,13.50,.75,.00,21.4%,28.6%,-7.1%,.300,2.62,,,6.64
Trevor Gott,641627,last_7,AAA,33.8,Rochester Red Wings,Total,ROC,- - -,0,0,0,13.50,0,0,0,2.0,10,3,3,3,1,1,0,0,0,0,2,9.00,4.50,2.00,4.50,20.0%,10.0%,10.0%,.333,2.00,,,9.31
Ian Hamilton,641656,last_7,AAA,31.0,Gwinnett Stripers,Total,GWN,- - -,0,0,0,.00,0,0,1,2.0,7,1,0,0,0,0,0,0,0,0,4,18.00,.00,,.00,57.1%,0.0%,57.1%,.143,.50,,,-.69
Thomas Hatch,641672,last_7,AAA,31.7,Reno Aces,Total,RNO,- - -,1,0,0,5.79,0,0,0,4.2,21,7,3,3,2,1,0,0,1,0,2,3.86,1.93,2.00,3.86,9.5%,4.8%,4.8%,.350,1.71,,,9.74
Rob Kaminsky,641739,last_7,AAA,31.8,Salt Lake Bees,Total,SL,- - -,0,0,0,9.64,0,0,0,4.2,24,5,5,5,1,5,0,1,0,0,3,5.79,9.64,.60,1.93,12.5%,20.8%,-8.3%,.278,2.14,,,9.74
Keynan Middleton,641871,last_7,AAA,32.7,Oklahoma City Comets,Total,OKC,- - -,0,0,0,.00,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.500,3.00,,,4.39
CD Pelham,641962,last_7,AAA,31.3,Las Vegas Aviators,Total,LV,- - -,0,2,0,.00,0,0,0,2.0,7,0,0,0,0,2,0,0,0,0,1,4.50,9.00,.50,.00,14.3%,28.6%,-14.3%,.000,1.00,,,6.39
Tayler Saucedo,642048,last_7,AAA,33.0,Salt Lake Bees,Total,SL,- - -,1,0,0,3.38,0,0,0,2.2,12,3,1,1,1,1,0,0,0,1,2,6.75,3.38,2.00,3.38,16.7%,8.3%,8.3%,.273,1.50,,,8.89
Lou Trivino,642152,last_7,AAA,34.7,Lehigh Valley IronPigs,Total,LHV,- - -,0,0,0,.00,0,0,1,2.0,10,3,0,0,0,1,0,0,0,0,2,9.00,4.50,2.00,.00,20.0%,10.0%,10.0%,.333,2.00,,,2.81
Jefry Yan,642376,last_7,AA,29.8,Binghamton Rumble Ponies,Total,BNG,- - -,0,0,0,.00,0,0,0,3.0,11,2,0,0,0,1,0,0,0,0,5,15.00,3.00,5.00,.00,45.5%,9.1%,36.4%,.200,1.00,,,1.54
Gerson Garabito,642520,last_7,ACL,30.8,ACL Brewers,Total,A-BRW,- - -,0,1,0,2.45,0,0,0,3.2,14,2,1,1,0,1,0,0,0,0,4,9.82,2.45,4.00,.00,28.6%,7.1%,21.4%,.154,.82,,,2.58
Gerson Moreno,642575,last_7,FCL,30.7,FCL Cardinals,Total,F-CAR,- - -,0,1,0,.00,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,18.00,.00,,.00,66.7%,0.0%,66.7%,.000,.00,,,-.07
Domingo Acevedo,642758,last_7,AAA,32.2,Albuquerque Isotopes,Total,ABQ,- - -,1,0,0,7.71,0,0,0,4.2,20,3,4,4,0,3,0,0,0,0,5,9.64,5.79,1.67,.00,25.0%,15.0%,10.0%,.176,1.29,,,4.17
Justin Dunn,643290,last_7,AAA,30.7,Salt Lake Bees,Total,SL,- - -,0,0,0,.00,0,0,0,3.0,14,3,4,0,1,1,0,1,0,0,4,12.00,3.00,4.00,3.00,28.6%,7.1%,21.4%,.250,1.33,,,8.05
Jhonathan Díaz,646242,last_7,AAA,29.7,Tacoma Rainiers,Total,TAC,- - -,1,0,0,3.60,0,0,0,5.0,20,5,2,2,0,1,0,1,0,0,3,5.40,1.80,3.00,.00,15.0%,5.0%,10.0%,.278,1.20,,,4.39
Génesis Cabrera,650893,last_7,AAA,29.7,Omaha Storm Chasers,Total,OMA,- - -,0,0,0,2.70,0,0,0,3.1,19,6,3,1,0,4,0,0,1,0,2,5.40,1.80,.50,.00,10.5%,21.1%,-10.5%,.400,3.00,,,5.71
Dan Altavilla,656186,last_7,AAA,33.7,Omaha Storm Chasers,Total,OMA,- - -,0,0,0,3.00,0,0,0,3.0,14,2,1,1,0,3,0,0,0,0,4,12.00,9.00,1.33,.00,28.6%,21.4%,7.1%,.182,1.67,,,3.64
Charlie Barnes,656212,last_7,AAA,30.7,Oklahoma City Comets,Total,OKC,- - -,1,0,0,1.80,0,0,0,5.0,19,4,1,1,0,0,0,1,0,0,5,9.00,.00,,.00,26.3%,0.0%,26.3%,.222,.80,,,2.99
Brandon Bielak,656232,last_7,AAA,30.2,Sugar Land Space Cowboys,Total,SUG,- - -,0,0,0,9.00,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.400,2.00,,,4.39
Scott Blewett,656240,last_7,AAA,30.2,Memphis Redbirds,Total,MEM,- - -,1,0,0,5.40,0,0,1,3.1,16,5,2,2,0,1,0,0,1,0,4,1.80,2.70,4.00,.00,25.0%,6.2%,18.8%,.333,1.80,,,1.81
Dylan Cease,656302,last_7,AAA,30.4,Buffalo Bisons,Total,BUF,- - -,1,0,1,11.25,0,0,0,4.0,19,6,5,5,2,1,0,0,0,0,6,13.50,2.25,6.00,4.50,31.6%,5.3%,26.3%,.333,1.75,,,7.56
Tucker Davidson,656353,last_7,AAA,30.2,Lehigh Valley IronPigs,Total,LHV,- - -,1,0,1,22.50,0,0,0,2.0,14,5,5,5,0,3,0,0,0,0,4,18.00,13.50,1.33,.00,28.6%,21.4%,7.1%,.455,4.00,,,3.81
Brad Deppermann,656368,last_7,AA,30.0,Richmond Flying Squirrels,Total,RIC,- - -,0,0,0,9.00,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,0,.00,9.00,.00,.00,0.0%,16.7%,-16.7%,.400,3.00,,,6.88
Alex Faedo,656412,last_7,ACL,30.6,ACL Angels,Total,A-ANG,- - -,2,0,0,1.12,0,0,0,2.2,13,3,4,3,2,1,0,0,1,0,4,13.50,3.38,4.00,6.75,30.8%,7.7%,23.1%,.250,1.50,,,12.93
Gabe Klobosits,656620,last_7,AAA,31.0,Iowa Cubs,Total,IOW,- - -,0,0,0,.00,0,0,0,2.1,8,0,0,0,0,1,0,0,0,0,1,3.86,3.86,1.00,.00,12.5%,12.5%,0.0%,.000,.43,,,3.74
Corbin Martin,656686,last_7,AAA,30.4,Iowa Cubs,Total,IOW,- - -,0,0,0,18.00,0,0,0,2.0,14,4,4,4,1,5,0,0,0,0,2,9.00,22.50,.40,4.50,14.3%,35.7%,-21.4%,.444,4.50,,,15.31
Parker Mushinski,656786,last_7,AAA,30.5,Albuquerque Isotopes,Total,ABQ,- - -,0,0,0,.00,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,1,6.75,6.75,1.00,.00,25.0%,25.0%,0.0%,.000,.75,,,5.14
Ryder Ryan,656924,last_7,AAA,31.1,Oklahoma City Comets,Total,OKC,- - -,0,0,1,19.29,0,0,0,2.1,15,6,5,5,0,3,0,0,1,0,1,3.86,11.57,.33,.00,6.7%,20.0%,-13.3%,.500,3.86,,,7.39
Trey Supak,657022,last_7,AAA,30.0,Round Rock Express,Total,RR,- - -,1,1,0,1.69,0,0,0,5.1,25,7,1,1,0,3,0,0,0,0,2,3.38,5.06,.67,.00,8.0%,12.0%,-4.0%,.318,1.88,,,5.32
Peter Strzelecki,657265,last_7,AAA,31.6,Scranton/Wilkes-Barre RailRiders,Total,SWB,- - -,0,0,0,6.75,0,0,1,2.2,12,2,3,2,1,0,0,1,0,0,6,2.25,.00,,3.38,50.0%,0.0%,50.0%,.182,.75,,,4.81
Andrew Bechtold,657510,last_7,AAA,30.1,Lehigh Valley IronPigs,Total,LHV,- - -,0,0,0,6.00,0,0,0,3.0,15,5,2,2,0,2,0,0,0,0,1,3.00,6.00,.50,.00,6.7%,13.3%,-6.7%,.385,2.33,,,4.64
Cam Hill,657611,last_7,AAA,32.0,Durham Bulls,Total,DUR,- - -,0,1,0,.00,0,0,0,4.1,16,3,0,0,0,1,0,0,0,0,3,6.23,2.08,3.00,.00,18.8%,6.2%,12.5%,.200,.92,,,2.62
Jared Koenig,657649,last_7,AAA,32.4,Nashville Sounds,Total,NAS,- - -,0,0,0,.00,0,0,0,2.2,14,3,0,0,0,4,0,0,0,0,1,3.38,13.50,.25,.00,7.1%,28.6%,-21.4%,.300,2.62,,,7.06
Junior Fernández,658551,last_7,AAA,29.3,Nashville Sounds,Total,NAS,- - -,0,1,0,2.25,0,0,1,4.0,15,2,1,1,0,1,0,0,1,0,3,6.75,2.25,3.00,.00,20.0%,6.7%,13.3%,.143,.75,,,2.56
Pedro Avila,658648,last_7,AAA,29.4,Columbus Clippers,Total,COL,- - -,0,0,0,9.00,0,0,0,3.0,12,3,3,3,2,0,0,0,0,0,3,9.00,.00,,6.00,25.0%,0.0%,25.0%,.250,1.00,,,9.98
Justin King,659381,last_7,AAA,28.5,Jacksonville Jumbo Shrimp,Total,JAX,- - -,0,0,0,6.75,0,0,0,2.2,15,3,2,2,0,4,0,0,1,0,3,1.12,13.50,.75,.00,20.0%,26.7%,-6.7%,.273,2.62,,,5.56
Enoli Paredes,660600,last_7,AAA,30.7,Norfolk Tides,Total,NOR,- - -,0,0,1,9.00,0,0,0,1.0,9,3,1,1,0,3,0,0,1,0,1,9.00,27.00,.33,.00,11.1%,33.3%,-22.2%,.500,6.00,,,1.31
Alan Rangel,660604,last_7,AAA,28.8,Lehigh Valley IronPigs,Total,LHV,- - -,2,1,0,5.91,0,0,0,10.2,45,9,7,7,1,4,0,0,0,0,15,12.66,3.38,3.75,.84,33.3%,8.9%,24.4%,.220,1.22,,,2.84
Huascar Ynoa,660623,last_7,AAA,28.0,Salt Lake Bees,Total,SL,- - -,0,0,0,33.75,0,0,0,1.1,13,5,5,5,0,2,0,2,0,0,1,6.75,13.50,.50,.00,7.7%,15.4%,-7.7%,.556,5.25,,,11.89
Domingo Robles,660781,last_7,AA,28.1,Midland RockHounds,Total,MID,- - -,0,0,1,4.50,0,0,1,2.0,9,2,1,1,0,2,1,1,0,1,0,.00,9.00,.00,.00,0.0%,22.2%,-22.2%,.333,2.00,,,7.72
Yerry De los Santos,660787,last_7,AAA,28.5,Scranton/Wilkes-Barre RailRiders,Total,SWB,- - -,0,0,0,.00,0,0,1,1.2,7,1,0,0,0,0,0,1,0,0,2,1.80,.00,,.00,28.6%,0.0%,28.6%,.167,.60,,,2.71
Seth Martinez,661527,last_7,AAA,31.8,Worcester Red Sox,Total,WOR,- - -,0,0,0,3.00,0,0,0,3.0,11,2,1,1,1,0,0,0,0,0,5,15.00,.00,,3.00,45.5%,0.0%,45.5%,.182,.67,,,4.31
Brian Keller,662144,last_7,AAA,32.0,Lehigh Valley IronPigs,Total,LHV,- - -,1,0,1,2.25,0,0,0,4.0,19,4,2,1,0,3,0,0,1,0,4,9.00,6.75,1.33,.00,21.1%,15.8%,5.3%,.250,1.75,,,3.56
Nick Hernandez,663321,last_7,AAA,31.4,Las Vegas Aviators,Total,LV,- - -,0,1,0,6.00,0,0,0,6.0,30,9,6,4,0,2,0,0,0,0,7,1.50,3.00,3.50,.00,23.3%,6.7%,16.7%,.321,1.83,,,3.05
Aaron Shortridge,663336,last_7,A+,29.0,Wilmington Blue Rocks,Total,WIL,- - -,0,0,0,2.70,0,0,0,3.1,14,3,2,1,0,0,0,0,0,0,3,8.10,.00,,.00,21.4%,0.0%,21.4%,.214,.90,,,1.43
Beau Burrows,663366,last_7,AAA,29.7,Indianapolis Indians,Total,IND,- - -,1,0,0,9.00,0,0,0,3.0,15,4,3,3,2,2,0,0,0,0,3,9.00,6.00,1.50,6.00,20.0%,13.3%,6.7%,.308,2.00,,,11.98
Dylan Hecht,663408,last_7,AA,32.2,Richmond Flying Squirrels,Total,RIC,- - -,0,1,0,9.82,0,0,0,3.2,18,6,4,4,1,1,0,0,0,0,5,12.27,2.45,5.00,2.45,27.8%,5.6%,22.2%,.353,1.91,,,5.51
Tanner Rainey,663432,last_7,AAA,33.4,Toledo Mud Hens,Total,TOL,- - -,0,0,0,.00,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,27.00,9.00,3.00,.00,75.0%,25.0%,50.0%,.000,1.00,,,.31
Konnor Pilkington,663455,last_7,AAA,28.7,Toledo Mud Hens,Total,TOL,- - -,0,0,1,3.00,0,0,0,3.0,13,3,1,1,0,1,0,0,0,0,3,9.00,3.00,3.00,.00,23.1%,7.7%,15.4%,.250,1.33,,,2.31
Isaiah Campbell,663462,last_7,AAA,28.8,Reno Aces,Total,RNO,- - -,0,0,0,9.00,0,0,0,4.0,18,6,4,4,1,0,0,0,0,0,4,9.00,.00,,2.25,22.2%,0.0%,22.2%,.333,1.50,,,5.64
Kolby Allard,663465,last_7,AAA,28.8,Columbus Clippers,Total,COL,- - -,1,0,0,.00,0,0,0,6.0,20,4,0,0,0,0,0,0,0,0,3,4.50,.00,,.00,15.0%,0.0%,15.0%,.200,.67,,,2.31
Cole Sands,663485,last_7,AAA,28.9,St. Paul Saints,Total,STP,- - -,0,0,0,.00,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,9.00,.00,,.00,33.3%,0.0%,33.3%,.000,.00,,,1.31
Logan Allen,663531,last_7,AAA,29.0,Oklahoma City Comets,Total,OKC,- - -,1,0,1,11.25,0,0,0,4.0,21,7,5,5,2,3,0,0,0,0,3,6.75,6.75,1.00,4.50,14.3%,14.3%,0.0%,.389,2.50,,,11.64
Noah Davis,663562,last_7,AAA,29.1,Indianapolis Indians,Total,IND,- - -,1,0,1,9.00,0,0,0,5.0,24,7,6,5,2,4,0,0,0,0,4,7.20,7.20,1.00,3.60,16.7%,16.7%,0.0%,.350,2.20,,,9.31
Luken Baker,663609,last_7,AAA,29.2,Reno Aces,Total,RNO,- - -,0,0,0,3.86,0,0,0,2.1,8,1,1,1,1,0,0,0,0,0,1,3.86,.00,,3.86,12.5%,0.0%,12.5%,.125,.43,,,9.10
Jarod Bayless,663681,last_7,AAA,29.4,Indianapolis Indians,Total,IND,- - -,1,0,2,16.20,0,0,0,3.1,17,7,7,6,3,1,1,0,0,0,1,2.70,2.70,1.00,8.10,5.9%,5.9%,0.0%,.438,2.40,,,15.31
