player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Cesar Acosta,831048,last_7,DSL,19.8,DSL NYY Bombers,Total,D-NYB,- - -,1,0,1,19.64,0,0,0,3.2,19,5,8,8,1,3,0,1,1,0,3,7.36,7.36,1.00,2.45,15.8%,15.8%,0.0%,.333,2.18,,,9.89
Iverson Paulino,831049,last_7,DSL,19.5,DSL Giants Orange,Total,D-GIO,- - -,1,0,0,2.70,0,0,0,3.1,12,2,1,1,1,1,0,0,1,0,3,8.10,2.70,3.00,2.70,25.0%,8.3%,16.7%,.182,.90,,,7.70
Jan Cabrera,831050,last_7,FCL,21.3,FCL Cardinals,Total,F-CAR,- - -,0,0,1,4.50,0,0,0,4.0,18,5,2,2,0,2,0,0,0,0,4,9.00,4.50,2.00,.00,22.2%,11.1%,11.1%,.312,1.75,,,3.43
Matt Lanzendorfer,831093,last_7,A+,24.5,Great Lakes Loons,Total,GL,- - -,0,1,0,.00,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,4.50,.00,,.00,16.7%,0.0%,16.7%,.000,.00,,,3.00
Carlos Lorenzo,831105,last_7,DSL,19.8,DSL Pirates Black,Total,D-PIB,- - -,0,1,0,.00,0,0,0,2.1,9,1,0,0,0,1,0,0,0,1,3,11.57,3.86,3.00,.00,33.3%,11.1%,22.2%,.125,.86,,,3.42
Jorge Gonzalez,831106,last_7,DSL,20.1,DSL Blue Jays Red,Total,D-BJR,- - -,0,0,1,67.50,0,0,0,0.2,7,2,5,5,0,3,0,1,3,0,0,.00,4.50,.00,.00,0.0%,42.9%,-42.9%,.667,7.50,,,22.70
Jordan Gottesman,831149,last_7,A,23.8,San Jose Giants,Total,SJ,- - -,1,1,0,.00,0,0,0,5.0,20,3,0,0,0,3,0,1,0,0,5,9.00,5.40,1.67,.00,25.0%,15.0%,10.0%,.188,1.20,,,4.42
Tyler Schmitt,831325,last_7,A,21.8,Lake Elsinore Storm,Total,LE,- - -,2,1,0,3.48,0,0,0,10.1,45,11,4,4,0,5,0,0,2,0,12,1.45,4.35,2.40,.00,26.7%,11.1%,15.6%,.275,1.55,,,3.14
Kleiver Benitez,831344,last_7,DSL,17.8,DSL Mariners,Total,D-MRN,- - -,0,0,0,5.40,0,0,0,1.2,8,3,1,1,0,0,0,0,0,0,3,16.20,.00,,.00,37.5%,0.0%,37.5%,.375,1.80,,,1.10
Aneudy Santos,831345,last_7,DSL,20.1,DSL Rangers Blue,Total,D-RNB,- - -,0,0,0,2.25,0,0,0,4.0,17,5,1,1,0,1,0,0,1,0,4,9.00,2.25,4.00,.00,23.5%,5.9%,17.6%,.312,1.50,,,3.45
Antwan Montana,831351,last_7,DSL,18.0,DSL CLE Mendoza,Total,D-CLM,- - -,1,0,0,4.50,0,0,0,1.1,11,1,6,6,0,6,0,0,5,0,2,13.50,4.50,.33,.00,18.2%,54.5%,-36.4%,.200,5.25,,,15.20
Josh Owens,831384,last_7,ACL,19.4,ACL Rangers,Total,A-RAN,- - -,1,0,0,4.50,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,4,18.00,.00,,.00,50.0%,0.0%,50.0%,.250,1.00,,,1.05
Melvin Robles,831448,last_7,DSL,18.3,DSL Royals Fortuna,Total,D-ROF,- - -,1,0,0,.00,0,0,0,2.2,13,1,0,0,0,3,0,0,0,0,4,13.50,1.12,1.33,.00,30.8%,23.1%,7.7%,.100,1.50,,,5.08
