Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,GB%,LD%,FB%,IFFB%,HR/FB,GB/FB,Oppo%,Pull%,Cent%,Balls,Strikes,Pitches,SwStr%,Age,MaxAge,Season,PlayerName,TeamName,AffId,AffAbbName,aLevel,playerids,minormasterid
"<a href=""statss.aspx?playerid=25690&position=OF"">Grant McCray</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=9&players=0"">Giants (AAA)</a>",72.0,294.0,336.0,78.0,51.0,14.0,3.0,10.0,50.0,46.0,33.0,0.0,93.0,0.0,6.0,3.0,3.0,17.0,2.0,0.265306122,0.098214285,0.276785714,0.354838709,0.333333333,0.435374149,0.768707482,0.170068027,7.373844239501096,0.345177664,43.213781975524235,-5.049947835190493,0.34031598990385953,100.36058277937965,1.832467881962657,0.495145631,0.22330097,0.281553398,0.086206896,0.172413793,1.758620689,0.31730769,0.37980769,0.30288462,525.0,853.0,1378.0,0.14005806,24,24,2025,Grant McCray,SFG (AAA),30.0,SFG,AAA,25690,sa3010042
"<a href=""statss.aspx?playerid=25705&position=1B/OF"">Dustin Harris</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=13&players=0"">Rangers (AAA)</a>",40.0,161.0,187.0,38.0,30.0,5.0,1.0,2.0,24.0,18.0,22.0,0.0,38.0,3.0,0.0,1.0,1.0,17.0,1.0,0.236024844,0.117647058,0.203208556,0.578947368,0.338709677,0.316770186,0.655479863,0.080745342,7.540323169750731,0.297520661,19.492922325163708,-7.368141587347166,0.313233236792267,75.71959390971922,2.53004456916824,0.360655737,0.229508196,0.409836065,0.16,0.04,0.88,0.24390244,0.49593496,0.2601626,299.0,475.0,774.0,0.09302326,25,25,2025,Dustin Harris,TEX (AAA),13.0,TEX,AAA,25705,sa3010279
"<a href=""statss.aspx?playerid=25714&position=1B"">Blaine Crim</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=13&players=0"">Rangers (AAA)</a>",57.0,230.0,262.0,67.0,40.0,14.0,1.0,12.0,34.0,55.0,29.0,1.0,53.0,1.0,2.0,0.0,8.0,3.0,3.0,0.291304347,0.110687022,0.202290076,0.547169811,0.370229007,0.517391304,0.887620311,0.226086957,3.4445242241943737,0.329341317,44.60161488010197,6.96739699198513,0.38656774631405244,121.68843827905542,-1.3733908873982728,0.395480225,0.254237288,0.350282485,0.161290322,0.193548387,1.129032258,0.32022472,0.40449438,0.2752809,406.0,635.0,1041.0,0.10951009,28,28,2025,Blaine Crim,TEX (AAA),13.0,TEX,AAA,25714,sa3010170
"<a href=""statss.aspx?playerid=25779&position=SS/OF"">Tyler Tolbert</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=15&players=0"">Royals (AAA)</a>",29.0,98.0,115.0,26.0,18.0,5.0,0.0,3.0,20.0,14.0,9.0,0.0,30.0,3.0,2.0,3.0,0.0,11.0,4.0,0.265306122,0.078260869,0.260869565,0.3,0.339285714,0.408163265,0.747448979,0.142857143,6.541560428752307,0.343283582,15.062510105159577,-0.05699512145251371,0.3388366475701332,96.96266720695083,0.1151474341750145,0.426470588,0.323529411,0.25,0.235294117,0.176470588,1.705882352,0.36111111,0.375,0.26388889,170.0,261.0,431.0,0.14849188,27,27,2025,Tyler Tolbert,KCR (AAA),7.0,KCR,AAA,25779,sa3010337
"<a href=""statss.aspx?playerid=25805&position=C/OF"">Blake Sabol</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=28&players=0"">Red Sox (AAA)</a>",34.0,118.0,138.0,21.0,11.0,6.0,1.0,3.0,12.0,17.0,19.0,0.0,39.0,1.0,0.0,0.0,0.0,6.0,0.0,0.177966101,0.137681159,0.282608695,0.487179487,0.297101449,0.322033898,0.619135347,0.144067797,6.637993875730796,0.236842105,12.590074874417768,-5.553331397516741,0.2914023753525554,69.01698201155665,0.9501724429428577,0.41025641,0.217948717,0.371794871,0.206896551,0.103448275,1.103448275,0.27848101,0.4556962,0.26582278,231.0,327.0,558.0,0.14516129,27,27,2025,Blake Sabol,BOS (AAA),3.0,BOS,AAA,25805,sa3010269
"<a href=""statss.aspx?playerid=25813&position=SS"">Grae Kessinger</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=18&players=0"">Diamondbacks (AAA)</a>",11.0,34.0,47.0,8.0,5.0,3.0,0.0,0.0,6.0,3.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.235294117,0.276595744,0.255319148,1.083333333,0.44680851,0.323529411,0.770337921,0.088235294,2.7743428585687635,0.363636363,7.995983974350093,1.2448074829703557,0.38644789888503706,110.67717389217486,-0.4246471943333745,0.545454545,0.272727272,0.181818181,0.5,0.0,3.0,0.27272727,0.45454545,0.27272727,80.0,119.0,199.0,0.09547739,27,27,2025,Grae Kessinger,ARI (AAA),15.0,ARI,AAA,25813,sa3010327
"<a href=""statss.aspx?playerid=25817&position=SS"">Braden Shewmake</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=4&players=0"">Yankees (AAA)</a>",44.0,144.0,165.0,35.0,23.0,7.0,1.0,4.0,23.0,13.0,19.0,0.0,25.0,1.0,0.0,1.0,4.0,9.0,1.0,0.243055555,0.115151515,0.151515151,0.76,0.335365853,0.388888888,0.724254741,0.145833333,6.862175556691185,0.269565217,20.763804145973822,-0.9293990052522236,0.33270582629413137,96.98486533731175,0.9926940090954304,0.398305084,0.186440677,0.415254237,0.306122448,0.081632653,0.959183673,0.30252101,0.47058824,0.22689076,225.0,380.0,605.0,0.09917355,27,27,2025,Braden Shewmake,NYY (AAA),9.0,NYY,AAA,25817,sa3010332
"<a href=""statss.aspx?playerid=25822&position=1B/2B/3B"">Andre Lipcius</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=21&players=0"">White Sox (AAA)</a>",41.0,140.0,157.0,38.0,22.0,7.0,0.0,9.0,26.0,34.0,13.0,0.0,26.0,2.0,2.0,0.0,4.0,2.0,0.0,0.271428571,0.082802547,0.165605095,0.5,0.337579617,0.514285714,0.851865331,0.242857143,4.392685399431741,0.271028037,24.954507592186587,4.313096108898775,0.37221418064870654,113.76049950235856,0.10181870684027672,0.310344827,0.224137931,0.465517241,0.203703703,0.166666666,0.666666666,0.29310345,0.47413793,0.23275862,220.0,360.0,580.0,0.12931034,27,27,2025,Andre Lipcius,CHW (AAA),4.0,CHW,AAA,25822,sa3010401
"<a href=""statss.aspx?playerid=25844&position=SS"">Logan Davidson</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=19&players=0"">Athletics (AAA)</a>",51.0,181.0,231.0,52.0,38.0,11.0,1.0,2.0,35.0,27.0,47.0,0.0,63.0,2.0,1.0,0.0,0.0,7.0,1.0,0.287292817,0.203463203,0.272727272,0.746031746,0.437229437,0.392265193,0.82949463,0.104972376,5.6594821449509,0.427350427,41.04442676308895,7.86311251822258,0.3948422125923685,115.45022851065589,0.3178860233165324,0.504273504,0.188034188,0.307692307,0.25,0.055555555,1.638888888,0.34453782,0.41176471,0.24369748,436.0,528.0,964.0,0.12033195,27,27,2025,Logan Davidson,OAK (AAA),10.0,OAK,AAA,25844,sa918676
"<a href=""statss.aspx?playerid=25845&position=1B"">Michael Toglia</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=3&players=0"">Rockies (AAA)</a>",11.0,44.0,51.0,12.0,5.0,4.0,0.0,3.0,11.0,16.0,6.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.272727272,0.117647058,0.294117647,0.4,0.352941176,0.568181818,0.921122994,0.295454546,2.64285714,0.333333333,8.845628276285591,1.5198835728735363,0.3901330992287281,111.6901535687703,-0.07292948989197612,0.433333333,0.266666666,0.3,0.111111111,0.333333333,1.444444444,0.2,0.53333333,0.26666667,68.0,108.0,176.0,0.14772727,26,26,2025,Michael Toglia,COL (AAA),19.0,COL,AAA,25845,sa3010393
