player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Kleiver Chauran,sa3021221,last_30,DSL,19,TBR (DSL),Total,- - -,- - -,,,9,29,39,12,6,4,0,2,7,14,8,0,9,1,1,0,1,5,1,.414,20.5%,23.1%,0.89,.538,.759,1.297,.345,5.5,.526,0.4,13,7.1,.587,216
Kleiver Chauran,sa3021221,last_45,DSL,19,TBR (DSL),Total,- - -,- - -,,,9,29,39,12,6,4,0,2,7,14,8,0,9,1,1,0,1,5,1,.414,20.5%,23.1%,0.89,.538,.759,1.297,.345,5.5,.526,0.4,13,7.1,.587,216
Heriberto Rincon,sa3021238,last_30,DSL,19,NYM (DSL),Total,- - -,- - -,,,11,36,42,14,13,1,0,0,8,2,5,0,6,1,0,0,1,10,2,.389,11.9%,14.3%,0.83,.476,.417,.893,.028,6.6,.467,0.8,10,3.1,.462,147
Joan Gutierrez,sa3021215,last_45,DSL,19,MIL (DSL),Total,- - -,- - -,,,7,18,27,2,1,1,0,0,5,0,6,0,4,3,0,0,1,3,0,.111,22.2%,14.8%,1.50,.407,.167,.574,.056,7.3,.143,0.6,4,-0.2,.366,92
Heriberto Rincon,sa3021238,last_15,DSL,19,NYM (DSL),Total,- - -,- - -,,,10,33,38,13,12,1,0,0,7,2,5,0,5,0,0,0,1,10,2,.394,13.2%,13.2%,1.00,.474,.424,.898,.030,6.4,.464,0.8,9,2.8,.462,146
Pedro Tovar,sa3021248,last_30,DSL,19,MIL (DSL),Total,- - -,- - -,,,5,9,11,3,1,2,0,0,2,3,2,0,2,0,0,0,0,1,0,.333,18.2%,18.2%,1.00,.455,.556,1.010,.222,6.4,.429,0.2,3,1.1,.488,164
Keiver Garcia,sa3021251,last_7,DSL,18,NYM (DSL),Total,- - -,- - -,,,3,13,13,3,1,2,0,0,3,1,0,0,1,0,0,0,0,2,0,.231,0.0%,7.7%,0.00,.231,.385,.615,.154,7.5,.250,0.4,1,-1.0,.285,48
Keiver Garcia,sa3021251,last_15,DSL,18,NYM (DSL),Total,- - -,- - -,,,7,25,28,5,3,2,0,0,6,2,3,0,6,0,0,0,0,3,0,.200,10.7%,21.4%,0.50,.286,.280,.566,.080,7.5,.263,0.6,2,-2.0,.293,52
Pedro Tovar,sa3021248,last_15,DSL,19,MIL (DSL),Total,- - -,- - -,,,5,9,11,3,1,2,0,0,2,3,2,0,2,0,0,0,0,1,0,.333,18.2%,18.2%,1.00,.455,.556,1.010,.222,6.4,.429,0.2,3,1.1,.488,164
Harold Gonzalez,sa3021255,last_15,DSL,18,LAD (DSL),Total,- - -,- - -,,,9,27,36,6,6,0,0,0,8,0,9,0,3,0,0,0,1,2,0,.222,25.0%,8.3%,3.00,.417,.222,.639,.000,6.3,.250,0.3,6,-0.1,.374,90
Keiver Garcia,sa3021251,last_45,DSL,18,NYM (DSL),Total,- - -,- - -,,,8,29,32,6,4,2,0,0,6,2,3,0,9,0,0,0,0,3,0,.207,9.4%,28.1%,0.33,.281,.276,.557,.069,7.3,.300,0.6,3,-2.4,.288,49
Martin Tamara,sa3021257,last_45,DSL,21,DET (DSL),Total,- - -,- - -,,,9,18,23,4,3,1,0,0,2,0,4,0,5,1,0,0,0,0,0,.222,17.4%,21.7%,0.80,.391,.278,.669,.056,1.1,.308,0.0,4,-0.1,.371,88
Harold Gonzalez,sa3021255,last_45,DSL,18,LAD (DSL),Total,- - -,- - -,,,10,31,41,7,7,0,0,0,9,2,10,0,5,0,0,0,1,2,0,.226,24.4%,12.2%,2.00,.415,.226,.640,.000,6.2,.269,0.3,6,-0.1,.373,90
Pedro Tovar,sa3021248,last_7,DSL,19,MIL (DSL),Total,- - -,- - -,,,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,33.3%,0.0%,1.00,.333,.000,.333,.000,0.1,.000,0.0,0,-0.3,.276,50
Harold Gonzalez,sa3021255,last_7,DSL,18,LAD (DSL),Total,- - -,- - -,,,3,12,17,2,2,0,0,0,5,0,5,0,0,0,0,0,0,1,0,.167,29.4%,0.0%,5.00,.412,.167,.578,.000,6.3,.167,0.2,3,-0.2,.361,83
Carlos De Sousa,sa3021240,last_7,DSL,19,TBR (DSL),Total,- - -,- - -,,,3,9,11,3,3,0,0,0,4,2,1,0,2,0,0,1,1,0,0,.333,9.1%,18.2%,0.50,.400,.333,.733,.000,2.6,.429,0.0,2,0.1,.384,108
Pedro Tovar,sa3021248,last_45,DSL,19,MIL (DSL),Total,- - -,- - -,,,5,9,11,3,1,2,0,0,2,3,2,0,2,0,0,0,0,1,0,.333,18.2%,18.2%,1.00,.455,.556,1.010,.222,6.4,.429,0.2,3,1.1,.488,164
Keiver Garcia,sa3021251,last_30,DSL,18,NYM (DSL),Total,- - -,- - -,,,8,29,32,6,4,2,0,0,6,2,3,0,9,0,0,0,0,3,0,.207,9.4%,28.1%,0.33,.281,.276,.557,.069,7.3,.300,0.6,3,-2.4,.288,49
Carlos De Sousa,sa3021240,last_15,DSL,19,TBR (DSL),Total,- - -,- - -,,,8,27,30,4,4,0,0,0,5,3,2,0,10,0,0,1,2,0,0,.148,6.7%,33.3%,0.20,.207,.148,.355,.000,2.6,.235,0.0,0,-4.7,.196,7
Harold Gonzalez,sa3021255,last_30,DSL,18,LAD (DSL),Total,- - -,- - -,,,10,31,41,7,7,0,0,0,9,2,10,0,5,0,0,0,1,2,0,.226,24.4%,12.2%,2.00,.415,.226,.640,.000,6.2,.269,0.3,6,-0.1,.373,90
Martin Tamara,sa3021257,last_30,DSL,21,DET (DSL),Total,- - -,- - -,,,9,18,23,4,3,1,0,0,2,0,4,0,5,1,0,0,0,0,0,.222,17.4%,21.7%,0.80,.391,.278,.669,.056,1.1,.308,0.0,4,-0.1,.371,88
Willian Berti,sa3021261,last_7,DSL,19,DET (DSL),Total,- - -,- - -,,,4,8,15,0,0,0,0,0,2,0,6,0,2,1,0,0,0,0,0,.000,40.0%,13.3%,3.00,.467,.000,.467,.000,1.6,.000,0.0,3,0.1,.388,97
Martin Tamara,sa3021257,last_7,DSL,21,DET (DSL),Total,- - -,- - -,,,4,8,10,2,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,.250,10.0%,0.0%,1.00,.400,.250,.650,.000,2.6,.250,0.0,2,-0.1,.369,87
Eduarlin Tejeda,sa3021259,last_45,DSL,20,SDP (DSL),Total,- - -,- - -,,,11,26,44,5,4,1,0,0,8,3,14,0,6,1,2,1,0,1,0,.192,31.8%,13.6%,2.33,.465,.231,.696,.038,4.9,.227,0.1,9,1.4,.414,115
Martin Tamara,sa3021257,last_15,DSL,21,DET (DSL),Total,- - -,- - -,,,8,16,21,4,3,1,0,0,2,0,4,0,3,1,0,0,0,0,0,.250,19.0%,14.3%,1.33,.429,.313,.741,.063,1.1,.308,0.0,4,0.5,.406,107
Willian Berti,sa3021261,last_30,DSL,19,DET (DSL),Total,- - -,- - -,,,11,25,36,2,2,0,0,0,4,2,8,0,11,3,0,0,0,0,0,.080,22.2%,30.6%,0.73,.361,.080,.441,.000,2.0,.143,-0.1,4,-2.0,.311,56
Eduarlin Tejeda,sa3021259,last_15,DSL,20,SDP (DSL),Total,- - -,- - -,,,10,22,39,3,3,0,0,0,6,3,13,0,5,1,2,1,0,1,0,.136,33.3%,12.8%,2.60,.447,.136,.584,.000,4.7,.158,0.1,7,0.3,.385,99
Yosneiker Rivas,sa3021262,last_7,DSL,19,SFG (DSL),Total,- - -,- - -,,,4,13,19,4,3,1,0,0,4,5,4,0,2,1,1,0,0,1,1,.308,21.1%,10.5%,2.00,.474,.385,.858,.077,4.9,.333,-0.4,4,1.2,.449,142
Yosneiker Rivas,sa3021262,last_30,DSL,19,SFG (DSL),Total,- - -,- - -,,,10,38,45,13,9,3,0,1,7,8,5,0,9,1,1,0,0,1,2,.342,11.1%,20.0%,0.56,.422,.500,.922,.158,3.2,.414,-1.0,10,2.7,.447,141
Yosneiker Rivas,sa3021262,last_45,DSL,19,SFG (DSL),Total,- - -,- - -,,,10,38,45,13,9,3,0,1,7,8,5,0,9,1,1,0,0,1,2,.342,11.1%,20.0%,0.56,.422,.500,.922,.158,3.2,.414,-1.0,10,2.7,.447,141
Willian Berti,sa3021261,last_15,DSL,19,DET (DSL),Total,- - -,- - -,,,10,22,33,2,2,0,0,0,4,2,8,0,10,3,0,0,0,0,0,.091,24.2%,30.3%,0.80,.394,.091,.485,.000,2.0,.167,-0.1,4,-1.1,.339,71
Eduarlin Tejeda,sa3021259,last_7,DSL,20,SDP (DSL),Total,- - -,- - -,,,4,8,14,2,2,0,0,0,1,2,3,0,3,0,2,1,0,0,0,.250,21.4%,21.4%,1.00,.385,.250,.635,.000,0.8,.286,0.0,2,-0.4,.346,78
Eduarlin Tejeda,sa3021259,last_30,DSL,20,SDP (DSL),Total,- - -,- - -,,,11,26,44,5,4,1,0,0,8,3,14,0,6,1,2,1,0,1,0,.192,31.8%,13.6%,2.33,.465,.231,.696,.038,4.9,.227,0.1,9,1.4,.414,115
Yosneiker Rivas,sa3021262,last_15,DSL,19,SFG (DSL),Total,- - -,- - -,,,9,34,41,11,7,3,0,1,6,8,5,0,8,1,1,0,0,1,2,.324,12.2%,19.5%,0.63,.415,.500,.915,.176,3.2,.385,-1.0,9,2.3,.441,138
Santiago Pinto,sa3021265,last_45,DSL,19,DET (DSL),Total,- - -,- - -,,,10,32,38,12,6,4,1,1,7,12,4,0,8,2,0,0,0,6,1,.375,10.5%,21.1%,0.50,.474,.656,1.130,.281,9.0,.478,0.6,11,5.0,.530,173
Willian Berti,sa3021261,last_45,DSL,19,DET (DSL),Total,- - -,- - -,,,11,25,36,2,2,0,0,0,4,2,8,0,11,3,0,0,0,0,0,.080,22.2%,30.6%,0.73,.361,.080,.441,.000,2.0,.143,-0.1,4,-2.0,.311,56
Santiago Pinto,sa3021265,last_30,DSL,19,DET (DSL),Total,- - -,- - -,,,10,32,38,12,6,4,1,1,7,12,4,0,8,2,0,0,0,6,1,.375,10.5%,21.1%,0.50,.474,.656,1.130,.281,9.0,.478,0.6,11,5.0,.530,173
Santiago Pinto,sa3021265,last_15,DSL,19,DET (DSL),Total,- - -,- - -,,,9,30,35,12,6,4,1,1,7,12,4,0,8,1,0,0,0,6,1,.400,11.4%,22.9%,0.50,.486,.700,1.186,.300,9.0,.524,0.6,11,5.3,.551,184
Carlos Concepcion,sa3021266,last_45,DSL,19,SFG (DSL),Total,- - -,- - -,,,11,40,46,9,7,1,1,0,6,5,2,0,11,1,3,0,0,0,0,.225,4.3%,23.9%,0.18,.261,.300,.561,.075,5.1,.281,0.0,3,-4.1,.273,43
Carlos Concepcion,sa3021266,last_30,DSL,19,SFG (DSL),Total,- - -,- - -,,,11,40,46,9,7,1,1,0,6,5,2,0,11,1,3,0,0,0,0,.225,4.3%,23.9%,0.18,.261,.300,.561,.075,5.1,.281,0.0,3,-4.1,.273,43
Santiago Pinto,sa3021265,last_7,DSL,19,DET (DSL),Total,- - -,- - -,,,4,12,15,4,2,1,0,1,3,4,3,0,5,0,0,0,0,2,1,.333,20.0%,33.3%,0.60,.467,.667,1.133,.333,5.2,.500,-0.2,4,1.9,.523,169
Carlos Concepcion,sa3021266,last_15,DSL,19,SFG (DSL),Total,- - -,- - -,,,10,36,42,9,7,1,1,0,6,5,2,0,9,1,3,0,0,0,0,.250,4.8%,21.4%,0.22,.286,.333,.619,.083,5.1,.300,0.0,4,-2.8,.299,57
Carlos Concepcion,sa3021266,last_7,DSL,19,SFG (DSL),Total,- - -,- - -,,,4,17,17,4,3,1,0,0,2,0,0,0,5,0,0,0,0,0,0,.235,0.0%,29.4%,0.00,.235,.294,.529,.059,2.6,.333,0.0,1,-1.8,.257,34
Keiberg Camacaro,sa3021267,last_45,DSL,18,SFG (DSL),Total,- - -,- - -,,,10,29,39,7,6,1,0,0,5,3,9,0,6,1,0,0,1,5,3,.241,23.1%,15.4%,1.50,.436,.276,.712,.034,4.9,.304,-0.8,7,0.9,.402,117
Keiberg Camacaro,sa3021267,last_30,DSL,18,SFG (DSL),Total,- - -,- - -,,,10,29,39,7,6,1,0,0,5,3,9,0,6,1,0,0,1,5,3,.241,23.1%,15.4%,1.50,.436,.276,.712,.034,4.9,.304,-0.8,7,0.9,.402,117
Keiberg Camacaro,sa3021267,last_15,DSL,18,SFG (DSL),Total,- - -,- - -,,,9,26,35,6,5,1,0,0,5,3,8,0,6,1,0,0,1,5,2,.231,22.9%,17.1%,1.33,.429,.269,.698,.038,5.6,.300,-0.2,6,0.6,.396,114
Angel Aquino,sa3021291,last_45,DSL,20,PIT (DSL),Total,- - -,- - -,,,5,12,15,1,1,0,0,0,1,0,1,0,5,2,0,0,0,2,0,.083,6.7%,33.3%,0.20,.267,.083,.350,.000,7.5,.143,0.4,1,-1.8,.236,30
Jorge Ramirez,sa3021281,last_45,DSL,19,SFG (DSL),Total,- - -,- - -,,,4,9,13,2,2,0,0,0,1,2,2,0,2,2,0,0,0,0,0,.222,15.4%,15.4%,1.00,.462,.222,.684,.000,1.1,.286,0.0,3,0.4,.414,118
Jorge Ramirez,sa3021281,last_7,DSL,19,SFG (DSL),Total,- - -,- - -,,,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000,0.0%,25.0%,0.00,.250,.000,.250,.000,0.1,.000,0.0,0,-0.6,.214,11
Jorge Ramirez,sa3021281,last_15,DSL,19,SFG (DSL),Total,- - -,- - -,,,3,7,10,2,2,0,0,0,1,1,1,0,1,2,0,0,0,0,0,.286,10.0%,10.0%,1.00,.500,.286,.786,.000,1.6,.333,0.0,2,0.7,.455,140
Jorge Ramirez,sa3021281,last_30,DSL,19,SFG (DSL),Total,- - -,- - -,,,4,9,13,2,2,0,0,0,1,2,2,0,2,2,0,0,0,0,0,.222,15.4%,15.4%,1.00,.462,.222,.684,.000,1.1,.286,0.0,3,0.4,.414,118
Keiberg Camacaro,sa3021267,last_7,DSL,18,SFG (DSL),Total,- - -,- - -,,,4,14,16,2,2,0,0,0,2,2,1,0,5,1,0,0,1,1,2,.143,6.3%,31.3%,0.20,.250,.143,.393,.000,5.0,.222,-1.0,1,-2.0,.231,26
Angel Aquino,sa3021291,last_30,DSL,20,PIT (DSL),Total,- - -,- - -,,,5,12,15,1,1,0,0,0,1,0,1,0,5,2,0,0,0,2,0,.083,6.7%,33.3%,0.20,.267,.083,.350,.000,7.5,.143,0.4,1,-1.8,.236,30
Angel Aquino,sa3021291,last_15,DSL,20,PIT (DSL),Total,- - -,- - -,,,5,12,15,1,1,0,0,0,1,0,1,0,5,2,0,0,0,2,0,.083,6.7%,33.3%,0.20,.267,.083,.350,.000,7.5,.143,0.4,1,-1.8,.236,30
Jose Paulino,sa3021293,last_30,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,26,34,3,1,0,1,1,7,5,5,0,11,1,1,1,0,1,1,.115,14.7%,32.4%,0.45,.273,.308,.580,.192,7.5,.133,-0.4,3,-2.5,.293,56
Jose Paulino,sa3021293,last_45,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,26,34,3,1,0,1,1,7,5,5,0,11,1,1,1,0,1,1,.115,14.7%,32.4%,0.45,.273,.308,.580,.192,7.5,.133,-0.4,3,-2.5,.293,56
Jose Paulino,sa3021293,last_7,DSL,19,KCR (DSL),Total,- - -,- - -,,,3,9,12,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,1,.000,16.7%,16.7%,1.00,.167,.000,.167,.000,5.0,.000,-0.6,-1,-2.5,.138,-27
Angel Aquino,sa3021291,last_7,DSL,20,PIT (DSL),Total,- - -,- - -,,,2,5,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,.000,0.0%,50.0%,0.00,.167,.000,.167,.000,2.5,.000,0.2,0,-1.2,.143,-20
Jose Paulino,sa3021293,last_15,DSL,19,KCR (DSL),Total,- - -,- - -,,,7,23,30,2,1,0,1,0,5,2,4,0,10,1,1,1,0,1,1,.087,13.3%,33.3%,0.40,.241,.174,.415,.087,7.7,.143,-0.4,1,-3.6,.236,26
Jose Guerra,sa3021297,last_45,DSL,19,COL (DSL),Total,- - -,- - -,,,8,25,28,3,2,0,0,1,5,3,1,0,3,1,0,1,0,2,0,.120,3.6%,10.7%,0.33,.185,.240,.425,.120,7.5,.095,0.4,0,-4.0,.211,7
Jose Guerra,sa3021297,last_7,DSL,19,COL (DSL),Total,- - -,- - -,,,3,12,12,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,.083,0.0%,16.7%,0.00,.083,.083,.167,.000,2.6,.100,0.0,-1,-3.0,.084,-61
Jose Guerra,sa3021297,last_30,DSL,19,COL (DSL),Total,- - -,- - -,,,8,25,28,3,2,0,0,1,5,3,1,0,3,1,0,1,0,2,0,.120,3.6%,10.7%,0.33,.185,.240,.425,.120,7.5,.095,0.4,0,-4.0,.211,7
Pedro Roque,sa3021300,last_30,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,29,33,9,7,2,0,0,8,6,3,0,4,0,0,1,0,2,0,.310,9.1%,12.1%,0.75,.375,.379,.754,.069,6.6,.360,0.4,5,0.2,.382,104
Jose Guerra,sa3021297,last_15,DSL,19,COL (DSL),Total,- - -,- - -,,,8,25,28,3,2,0,0,1,5,3,1,0,3,1,0,1,0,2,0,.120,3.6%,10.7%,0.33,.185,.240,.425,.120,7.5,.095,0.4,0,-4.0,.211,7
Pedro Roque,sa3021300,last_45,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,29,33,9,7,2,0,0,8,6,3,0,4,0,0,1,0,2,0,.310,9.1%,12.1%,0.75,.375,.379,.754,.069,6.6,.360,0.4,5,0.2,.382,104
Darvin Cruz,sa3021302,last_30,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,22,30,8,7,1,0,0,3,5,6,0,5,1,1,0,0,0,0,.364,20.0%,16.7%,1.20,.500,.409,.909,.045,0.9,.444,-0.1,7,2.5,.474,155
Darvin Cruz,sa3021302,last_45,DSL,19,KCR (DSL),Total,- - -,- - -,,,8,22,30,8,7,1,0,0,3,5,6,0,5,1,1,0,0,0,0,.364,20.0%,16.7%,1.20,.500,.409,.909,.045,0.9,.444,-0.1,7,2.5,.474,155
Pedro Roque,sa3021300,last_7,DSL,19,KCR (DSL),Total,- - -,- - -,,,2,8,9,4,3,1,0,0,3,4,0,0,0,0,0,1,0,1,0,.500,0.0%,0.0%,0.00,.500,.625,1.125,.125,7.1,.500,0.2,3,1.3,.546,192
Pedro Roque,sa3021300,last_15,DSL,19,KCR (DSL),Total,- - -,- - -,,,7,24,28,7,6,1,0,0,7,6,3,0,1,0,0,1,0,2,0,.292,10.7%,3.6%,3.00,.370,.333,.704,.042,6.7,.304,0.4,4,-0.3,.365,95
Adrian Bello,sa3021303,last_45,DSL,19,MIA (DSL),Total,- - -,- - -,,,6,19,25,3,3,0,0,0,4,3,4,0,8,0,2,0,0,0,0,.158,16.0%,32.0%,0.50,.280,.158,.438,.000,2.6,.231,0.0,1,-2.7,.253,43
Adrian Bello,sa3021303,last_15,DSL,19,MIA (DSL),Total,- - -,- - -,,,6,19,25,3,3,0,0,0,4,3,4,0,8,0,2,0,0,0,0,.158,16.0%,32.0%,0.50,.280,.158,.438,.000,2.6,.231,0.0,1,-2.7,.253,43
Darvin Cruz,sa3021302,last_7,DSL,19,KCR (DSL),Total,- - -,- - -,,,3,10,15,3,3,0,0,0,1,4,3,0,3,1,1,0,0,0,0,.300,20.0%,20.0%,1.00,.467,.300,.767,.000,0.6,.375,0.0,3,0.6,.424,128
